test, size, density, tree, frederickson, randomized, exact, even
1, 10, 0.1, path, 0.012369632720947266, 0.01542806625366211, 0.0978844165802002, 2.26371431350708
2, 10, 0.1, path, 0.0070285797119140625, 0.01971578598022461, 0.06405854225158691, 0.008372306823730469
3, 10, 0.1, path, 0.006034374237060547, 0.0183565616607666, 0.06698417663574219, 0.009104728698730469
1, 10, 0.1, star, 0.01024174690246582, 0.013257980346679688, 0.0621340274810791, 0.01838850975036621
2, 10, 0.1, star, 0.0063648223876953125, 0.012360572814941406, 0.06365633010864258, 0.01665782928466797
3, 10, 0.1, star, 0.006351947784423828, 0.012340068817138672, 0.06400489807128906, 0.018736839294433594
1, 10, 0.1, starlike, 0.005292177200317383, 0.012380838394165039, 0.07304215431213379, 0.022004127502441406
2, 10, 0.1, starlike, 0.006999969482421875, 0.011999368667602539, 0.06537723541259766, 0.011258125305175781
3, 10, 0.1, starlike, 0.008321046829223633, 0.011291742324829102, 0.06196165084838867, 0.01226496696472168
1, 10, 0.1, caterpillar, 0.0073757171630859375, 0.011333227157592773, 0.05982851982116699, 0.013348579406738281
2, 10, 0.1, caterpillar, 0.009291410446166992, 0.012279033660888672, 0.06357955932617188, 0.012704610824584961
3, 10, 0.1, caterpillar, 0.008319854736328125, 0.011346101760864258, 0.061625003814697266, 0.016481399536132812
1, 10, 0.1, lobster, 0.009133338928222656, 0.01203775405883789, 0.07765913009643555, 0.015198469161987305
2, 10, 0.1, lobster, 0.00799703598022461, 0.011491537094116211, 0.06649184226989746, 0.011272668838500977
3, 10, 0.1, lobster, 0.00938725471496582, 0.010343790054321289, 0.05955648422241211, 0.013364791870117188
1, 10, 0.1, random, 0.005036592483520508, 0.010255098342895508, 0.06071281433105469, 0.009238958358764648
2, 10, 0.1, random, 0.008033514022827148, 0.011401176452636719, 0.0664982795715332, 0.014408349990844727
3, 10, 0.1, random, 0.011369705200195312, 0.013204813003540039, 0.07092499732971191, 0.014247417449951172
1, 10, 0.5, path, 0.02150583267211914, 0.017900466918945312, 0.0792074203491211, 0.014325141906738281
2, 10, 0.5, path, 0.010282278060913086, 0.014748573303222656, 0.07652711868286133, 0.013797998428344727
3, 10, 0.5, path, 0.008308887481689453, 0.014516353607177734, 0.07500004768371582, 0.011038064956665039
1, 10, 0.5, star, 0.012961864471435547, 0.01699995994567871, 0.08072853088378906, 0.05116701126098633
2, 10, 0.5, star, 0.010210037231445312, 0.01554560661315918, 0.08027362823486328, 0.0489192008972168
3, 10, 0.5, star, 0.011353015899658203, 0.018443584442138672, 0.09973740577697754, 0.04475283622741699
1, 10, 0.5, starlike, 0.011613607406616211, 0.021497011184692383, 0.09246444702148438, 0.015210866928100586
2, 10, 0.5, starlike, 0.013350963592529297, 0.018306255340576172, 0.10265946388244629, 0.048532724380493164
3, 10, 0.5, starlike, 0.01263737678527832, 0.01837468147277832, 0.07931852340698242, 0.01270151138305664
