test, size, density, tree, frederickson, randomized, exact, even
1, 10, 0.1, path, 180810, 109880, 184655, 21299616
2, 10, 0.1, path, 101197, 126704, 174457, 55561
3, 10, 0.1, path, 96301, 107392, 139240, 54489
1, 10, 0.1, star, 179540, 121344, 136234, 114833
2, 10, 0.1, star, 140370, 121856, 141325, 145065
3, 10, 0.1, star, 107640, 116384, 142170, 128905
1, 10, 0.1, starlike, 118887, 145608, 135258, 46801
2, 10, 0.1, starlike, 102944, 114560, 134979, 115625
3, 10, 0.1, starlike, 125290, 110272, 140760, 47577
1, 10, 0.1, caterpillar, 129564, 111288, 135485, 68369
2, 10, 0.1, caterpillar, 189294, 115720, 140220, 115697
3, 10, 0.1, caterpillar, 145087, 114096, 136376, 113305
1, 10, 0.1, lobster, 149265, 111368, 133221, 115105
2, 10, 0.1, lobster, 150577, 111040, 135532, 77953
3, 10, 0.1, lobster, 175873, 112200, 143988, 100297
1, 10, 0.1, random, 98887, 112416, 134222, 46521
2, 10, 0.1, random, 96880, 109320, 130538, 38649
3, 10, 0.1, random, 120330, 175776, 133421, 81129
1, 10, 0.5, path, 270334, 110384, 168742, 57585
2, 10, 0.5, path, 216777, 119656, 161238, 57265
3, 10, 0.5, path, 177884, 135888, 177895, 59409
1, 10, 0.5, star, 147464, 124152, 161588, 156225
2, 10, 0.5, star, 179058, 117856, 157417, 155009
3, 10, 0.5, star, 177978, 123456, 157311, 149225
1, 10, 0.5, starlike, 138392, 128200, 158053, 54537
2, 10, 0.5, starlike, 133562, 123416, 155762, 56689
3, 10, 0.5, starlike, 211679, 117784, 155230, 155786
1, 10, 0.5, caterpillar, 313779, 118072, 160431, 147652
2, 10, 0.5, caterpillar, 217623, 117416, 158241, 154977
3, 10, 0.5, caterpillar, 255523, 115160, 158859, 136241
1, 10, 0.5, lobster, 138672, 129728, 158543, 113241
2, 10, 0.5, lobster, 242299, 130856, 154391, 100137
3, 10, 0.5, lobster, 288475, 131808, 163597, 99497
1, 10, 0.5, random, 163228, 117768, 163130, 109657
2, 10, 0.5, random, 183898, 129992, 159495, 114105
3, 10, 0.5, random, 141448, 128472, 159419, 89929
1, 10, 0.8, path, 159296, 135048, 179910, 59697
2, 10, 0.8, path, 163728, 130840, 177395, 59569
3, 10, 0.8, path, 159688, 135400, 177561, 52876
1, 10, 0.8, star, 199106, 135512, 168520, 162169
2, 10, 0.8, star, 309145, 124096, 170050, 157217
3, 10, 0.8, star, 203330, 134792, 170188, 162841
1, 10, 0.8, starlike, 266646, 134760, 175717, 54385
2, 10, 0.8, starlike, 227161, 127491, 172131, 56313
3, 10, 0.8, starlike, 157296, 135240, 177331, 59633
1, 10, 0.8, caterpillar, 294227, 122312, 170570, 148785
2, 10, 0.8, caterpillar, 294395, 134584, 176072, 102796
3, 10, 0.8, caterpillar, 153736, 133320, 171706, 150225
1, 10, 0.8, lobster, 157080, 125888, 174913, 149753
2, 10, 0.8, lobster, 257678, 113896, 173878, 117020
3, 10, 0.8, lobster, 187586, 119656, 174578, 115313
1, 10, 0.8, random, 156104, 121816, 174900, 64433
2, 10, 0.8, random, 155672, 114648, 173983, 141505
3, 10, 0.8, random, 296859, 113696, 172221, 114881
1, 50, 0.1, path, 1309422, 1253208, 1137838, 202449
2, 50, 0.1, path, 1583271, 1557528, 1085607, 207233
3, 50, 0.1, path, 1111936, 1640488, 1153947, 209745
1, 50, 0.1, star, 11010847, 884952, 626673, 819137
2, 50, 0.1, star, 5201437, 938840, 600501, 814265
3, 50, 0.1, star, 10101905, 889352, 637573, 850417
1, 50, 0.1, starlike, 9274173, 932856, 595524, 804012
2, 50, 0.1, starlike, 1023584, 851080, 606704, 734257
3, 50, 0.1, starlike, 7112989, 858600, 683158, 683940
1, 50, 0.1, caterpillar, 5216209, 963216, 969603, 427785
2, 50, 0.1, caterpillar, 1892211, 1298568, 980592, 191233
3, 50, 0.1, caterpillar, 3928789, 841120, 948370, 431177
1, 50, 0.1, lobster, 8230273, 983928, 621501, 636804
2, 50, 0.1, lobster, 3577967, 840280, 1003789, 333689
3, 50, 0.1, lobster, 10492705, 896960, 594699, 681201
1, 50, 0.1, random, 4871163, 915344, 944564, 428417
2, 50, 0.1, random, 6104951, 806968, 741485, 528961
3, 50, 0.1, random, 4161939, 1184448, 887593, 603321
1, 50, 0.5, path, 15788763, 1964104, 4123915, 359409
2, 50, 0.5, path, 15764105, 1500896, 4049047, 356529
3, 50, 0.5, path, 2600725, 2101760, 4120590, 322161
1, 50, 0.5, star, 35471535, 896456, 1855203, 1748908
2, 50, 0.5, star, 4539675, 896752, 1716402, 1756204
3, 50, 0.5, star, 35396007, 896424, 1853789, 1748436
1, 50, 0.5, starlike, 10902555, 1910160, 3119071, 501769
2, 50, 0.5, starlike, 23176660, 972448, 2070653, 870393
3, 50, 0.5, starlike, 26124559, 831000, 2041419, 1071068
1, 50, 0.5, caterpillar, 15353467, 936984, 3409034, 717452
2, 50, 0.5, caterpillar, 24547819, 810960, 3479281, 722897
3, 50, 0.5, caterpillar, 18780201, 1093888, 3724984, 714401
1, 50, 0.5, lobster, 29508663, 941528, 2021598, 1310889
2, 50, 0.5, lobster, 12362745, 1133976, 3311266, 700732
3, 50, 0.5, lobster, 26232841, 872400, 2027643, 1234196
1, 50, 0.5, random, 18916869, 1197328, 2874860, 751804
2, 50, 0.5, random, 17202189, 1535520, 2946165, 708849
3, 50, 0.5, random, 18831913, 1080672, 2681705, 735324
1, 50, 0.8, path, 3608228, 3069936, 4214412, 482913
2, 50, 0.8, path, 37911505, 3275040, 4264299, 500281
3, 50, 0.8, path, 37230539, 3765520, 4222072, 476385
1, 50, 0.8, star, 43713725, 1051224, 1548312, 2146135
2, 50, 0.8, star, 43391581, 1050856, 1540438, 2146223
3, 50, 0.8, star, 3450432, 999520, 1438907, 2145895
1, 50, 0.8, starlike, 24702205, 1720744, 1924361, 951490
2, 50, 0.8, starlike, 40297699, 1046368, 1585308, 1886511
3, 50, 0.8, starlike, 14973245, 1261856, 2418320, 816471
1, 50, 0.8, caterpillar, 3598632, 1135840, 3253988, 898426
2, 50, 0.8, caterpillar, 36766097, 951160, 2342134, 1348319
3, 50, 0.8, caterpillar, 19298653, 1101152, 3101931, 979274
1, 50, 0.8, lobster, 31105295, 1189456, 1984381, 1234327
2, 50, 0.8, lobster, 26847935, 1005776, 1963767, 1145095
3, 50, 0.8, lobster, 35245599, 999168, 2084515, 1479799
1, 50, 0.8, random, 25214739, 1110016, 2664604, 943567
2, 50, 0.8, random, 19740379, 1436904, 2640490, 897791
3, 50, 0.8, random, 27191235, 1069296, 2461930, 926186
