test, size, density, tree, frederickson, randomized, exact, even
1, 10, 0.1, path, 2, 2, 2, 2
2, 10, 0.1, path, 1, 1, 1, 1
3, 10, 0.1, path, 1, 1, 1, 1
1, 10, 0.1, star, 8, 6, 5, 6
2, 10, 0.1, star, 8, 5, 5, 5
3, 10, 0.1, star, 8, 6, 5, 5
1, 10, 0.1, starlike, 2, 2, 2, 2
2, 10, 0.1, starlike, 7, 5, 4, 4
3, 10, 0.1, starlike, 3, 3, 3, 3
1, 10, 0.1, caterpillar, 4, 4, 4, 4
2, 10, 0.1, caterpillar, 7, 5, 5, 6
3, 10, 0.1, caterpillar, 6, 4, 4, 4
1, 10, 0.1, lobster, 4, 4, 4, 4
2, 10, 0.1, lobster, 4, 3, 3, 3
3, 10, 0.1, lobster, 5, 4, 3, 4
1, 10, 0.1, random, 5, 5, 5, 5
2, 10, 0.1, random, 2, 2, 2, 2
3, 10, 0.1, random, 5, 5, 4, 5
1, 10, 0.5, path, 1, 1, 1, 1
2, 10, 0.5, path, 1, 1, 1, 1
3, 10, 0.5, path, 1, 1, 1, 1
1, 10, 0.5, star, 8, 5, 5, 5
2, 10, 0.5, star, 8, 5, 5, 5
3, 10, 0.5, star, 8, 5, 5, 5
1, 10, 0.5, starlike, 2, 2, 2, 2
2, 10, 0.5, starlike, 1, 1, 1, 1
3, 10, 0.5, starlike, 8, 6, 5, 5
1, 10, 0.5, caterpillar, 7, 5, 4, 4
2, 10, 0.5, caterpillar, 8, 5, 5, 5
3, 10, 0.5, caterpillar, 6, 5, 4, 4
1, 10, 0.5, lobster, 4, 4, 3, 3
2, 10, 0.5, lobster, 5, 3, 3, 3
3, 10, 0.5, lobster, 4, 3, 3, 3
1, 10, 0.5, random, 3, 3, 2, 2
2, 10, 0.5, random, 4, 4, 3, 3
3, 10, 0.5, random, 3, 3, 2, 2
1, 10, 0.8, path, 1, 1, 1, 1
2, 10, 0.8, path, 1, 1, 1, 1
3, 10, 0.8, path, 1, 2, 1, 1
1, 10, 0.8, star, 8, 5, 5, 5
2, 10, 0.8, star, 8, 5, 5, 5
3, 10, 0.8, star, 8, 5, 5, 5
1, 10, 0.8, starlike, 2, 2, 2, 2
2, 10, 0.8, starlike, 2, 2, 2, 2
3, 10, 0.8, starlike, 1, 1, 1, 1
1, 10, 0.8, caterpillar, 6, 4, 4, 4
2, 10, 0.8, caterpillar, 3, 3, 2, 2
3, 10, 0.8, caterpillar, 6, 4, 4, 4
1, 10, 0.8, lobster, 4, 3, 3, 3
2, 10, 0.8, lobster, 4, 3, 3, 3
3, 10, 0.8, lobster, 4, 3, 3, 3
1, 10, 0.8, random, 2, 2, 2, 2
2, 10, 0.8, random, 5, 4, 3, 3
3, 10, 0.8, random, 4, 3, 3, 3
1, 50, 0.1, path, 2, 2, 2, 2
2, 50, 0.1, path, 2, 2, 2, 2
3, 50, 0.1, path, 2, 2, 2, 2
1, 50, 0.1, star, 48, 31, 25, 26
2, 50, 0.1, star, 48, 31, 25, 25
3, 50, 0.1, star, 48, 31, 25, 27
1, 50, 0.1, starlike, 43, 28, 22, 24
2, 50, 0.1, starlike, 37, 26, 19, 21
3, 50, 0.1, starlike, 33, 22, 17, 18
1, 50, 0.1, caterpillar, 15, 11, 8, 9
2, 50, 0.1, caterpillar, 4, 4, 4, 4
3, 50, 0.1, caterpillar, 18, 14, 11, 13
1, 50, 0.1, lobster, 30, 20, 16, 17
2, 50, 0.1, lobster, 11, 8, 7, 7
3, 50, 0.1, lobster, 39, 25, 20, 23
1, 50, 0.1, random, 15, 11, 8, 9
2, 50, 0.1, random, 18, 14, 10, 11
3, 50, 0.1, random, 19, 14, 10, 11
1, 50, 0.5, path, 1, 1, 1, 1
2, 50, 0.5, path, 1, 1, 1, 1
3, 50, 0.5, path, 2, 2, 2, 2
1, 50, 0.5, star, 48, 30, 25, 25
2, 50, 0.5, star, 48, 28, 25, 25
3, 50, 0.5, star, 48, 29, 25, 25
1, 50, 0.5, starlike, 4, 4, 3, 3
2, 50, 0.5, starlike, 22, 16, 12, 12
3, 50, 0.5, starlike, 29, 19, 15, 15
1, 50, 0.5, caterpillar, 17, 13, 9, 10
2, 50, 0.5, caterpillar, 16, 13, 9, 9
3, 50, 0.5, caterpillar, 10, 8, 6, 6
1, 50, 0.5, lobster, 39, 26, 20, 21
2, 50, 0.5, lobster, 11, 8, 6, 6
3, 50, 0.5, lobster, 35, 23, 18, 18
1, 50, 0.5, random, 18, 14, 10, 10
2, 50, 0.5, random, 13, 11, 7, 7
3, 50, 0.5, random, 17, 13, 9, 9
1, 50, 0.8, path, 1, 1, 0, 1
2, 50, 0.8, path, 1, 1, 0, 1
3, 50, 0.8, path, 1, 1, 0, 1
1, 50, 0.8, star, 48, 31, 0, 25
2, 50, 0.8, star, 48, 31, 0, 25
3, 50, 0.8, star, 48, 30, 0, 25
1, 50, 0.8, starlike, 18, 13, 0, 10
2, 50, 0.8, starlike, 43, 29, 0, 22
3, 50, 0.8, starlike, 11, 8, 0, 6
1, 50, 0.8, caterpillar, 16, 12, 0, 9
2, 50, 0.8, caterpillar, 34, 23, 0, 18
3, 50, 0.8, caterpillar, 21, 15, 0, 11
1, 50, 0.8, lobster, 30, 20, 0, 16
2, 50, 0.8, lobster, 27, 19, 0, 14
3, 50, 0.8, lobster, 37, 26, 0, 19
1, 50, 0.8, random, 19, 14, 0, 10
2, 50, 0.8, random, 16, 13, 0, 9
3, 50, 0.8, random, 16, 12, 0, 9
