test, size, density, tree, frederickson, randomized, exact, even
1, 10, 0.1, path, 0.012495756149291992, 0.01129007339477539, 0.08936262130737305, 1.5510106086730957
2, 10, 0.1, path, 0.0059854984283447266, 0.010226249694824219, 0.3032801151275635, 0.011659383773803711
3, 10, 0.1, path, 0.005208015441894531, 0.01019740104675293, 0.07926201820373535, 0.009359121322631836
1, 10, 0.1, star, 0.008036613464355469, 0.01166677474975586, 0.07410001754760742, 0.017653942108154297
2, 10, 0.1, star, 0.006002187728881836, 0.015458822250366211, 0.13109970092773438, 0.020479440689086914
3, 10, 0.1, star, 0.005038022994995117, 0.012347936630249023, 0.0949697494506836, 0.024593591690063477
1, 10, 0.1, starlike, 0.006034135818481445, 0.015738248825073242, 0.07562398910522461, 0.00719141960144043
2, 10, 0.1, starlike, 0.005032777786254883, 0.011521339416503906, 0.0782022476196289, 0.015665531158447266
3, 10, 0.1, starlike, 0.006276845932006836, 0.011291027069091797, 0.08361577987670898, 0.00928950309753418
1, 10, 0.1, caterpillar, 0.007247209548950195, 0.011229515075683594, 0.07256770133972168, 0.011299610137939453
2, 10, 0.1, caterpillar, 0.009281158447265625, 0.013222694396972656, 0.07430338859558105, 0.019454479217529297
3, 10, 0.1, caterpillar, 0.006222963333129883, 0.01229548454284668, 0.07855820655822754, 0.01325082778930664
1, 10, 0.1, lobster, 0.00823521614074707, 0.012323617935180664, 0.06882405281066895, 0.017476797103881836
2, 10, 0.1, lobster, 0.008253097534179688, 0.011285543441772461, 0.07081079483032227, 0.011303901672363281
3, 10, 0.1, lobster, 0.009219169616699219, 0.01130056381225586, 0.08646869659423828, 0.013654708862304688
1, 10, 0.1, random, 0.005278110504150391, 0.012265205383300781, 0.07789993286132812, 0.009270429611206055
2, 10, 0.1, random, 0.004001140594482422, 0.011275291442871094, 0.06809473037719727, 0.0072383880615234375
3, 10, 0.1, random, 0.00600743293762207, 0.03082895278930664, 0.07325935363769531, 0.018165111541748047
