test, size, density, tree, frederickson, randomized, exact, even
3, 100, 0.5, random, 13966206, 6421832, 9033230, 3206192
1, 100, 0.8, path, 14181060, 38315736, 29356709, 1730317
2, 100, 0.8, path, 259219891, 28178152, 29386532, 1750957
3, 100, 0.8, path, 14241252, 43388224, 29607407, 1734525
1, 100, 0.8, star, 318738618, 8533520, 6033794, 9587597
2, 100, 0.8, star, 344720380, 8537272, 6059743, 9594069
3, 100, 0.8, star, 257336652, 8539208, 6069817, 9592125
1, 100, 0.8, starlike, 258502275, 9788344, 6840868, 9842293
2, 100, 0.8, starlike, 306077685, 8960616, 6332274, 14389005
3, 100, 0.8, starlike, 272148771, 42742432, 29518961, 1733709
1, 100, 0.8, caterpillar, 299420200, 12109312, 6051221, 26183501
2, 100, 0.8, caterpillar, 294877659, 8114640, 8564564, 17918373
3, 100, 0.8, caterpillar, 236114367, 10255712, 23686901, 3032512
1, 100, 0.8, lobster, 201644983, 6317992, 13456477, 5664720
2, 100, 0.8, lobster, 315498541, 5724800, 7041711, 14815704
3, 100, 0.8, lobster, 180268511, 7788056, 12318352, 6791597
1, 100, 0.8, random, 231593421, 13219208, 12408772, 5070901
2, 100, 0.8, random, 198663283, 13639688, 12155057, 4493733
3, 100, 0.8, random, 183650059, 7055408, 13553024, 5084205
