test, size, density, tree, frederickson, randomized, even
1, 1000, 0.8, starlike, 517409408, 279705168, 136387856
2, 1000, 0.8, starlike, 556991640, 212294320, 136379500
3, 1000, 0.8, starlike, 574197224, 214983240, 138420280
1, 1000, 0.8, caterpillar, 523011920, 149996408, 166951712
2, 1000, 0.8, caterpillar, 616751088, 166587608, 136885112
3, 1000, 0.8, caterpillar, 591287792, 145079624, 136407672
1, 1000, 0.8, lobster, 653682712, 146685528, 165746168
2, 1000, 0.8, lobster, 596259064, 151000216, 138719632
3, 1000, 0.8, lobster, 564171248, 145292136, 136453384
1, 1000, 0.8, random, 525813568, 213174960, 136420800
2, 1000, 0.8, random, 558774256, 211881544, 136423040
3, 1000, 0.8, random, 559351408, 211518752, 136420768
