test, size, density, tree, frederickson, randomized, even
1, 100, 0.1, path, 0.050885915756225586, 2.7322020530700684, 0.2780122756958008
2, 100, 0.1, path, 0.044101715087890625, 2.5639994144439697, 0.2773318290710449
3, 100, 0.1, path, 0.037900686264038086, 2.9754767417907715, 0.2768726348876953
4, 100, 0.1, path, 0.04760169982910156, 2.0338711738586426, 0.2685668468475342
1, 100, 0.1, star, 0.29267263412475586, 1.2477293014526367, 0.298748254776001
2, 100, 0.1, star, 0.2735781669616699, 1.5330123901367188, 0.33391499519348145
3, 100, 0.1, star, 0.1875019073486328, 1.2271146774291992, 0.2852308750152588
1, 100, 0.1, starlike, 0.11618185043334961, 1.9674477577209473, 0.23010468482971191
2, 100, 0.1, starlike, 0.23452138900756836, 1.2382235527038574, 0.3014047145843506
3, 100, 0.1, starlike, 0.06709551811218262, 2.118446111679077, 0.2209763526916504
1, 100, 0.1, caterpillar, 0.04270172119140625, 1.5708374977111816, 0.24704742431640625
2, 100, 0.1, caterpillar, 0.09834051132202148, 1.4629511833190918, 0.22443699836730957
3, 100, 0.1, caterpillar, 0.13125324249267578, 1.3200151920318604, 0.40019893646240234
1, 100, 0.1, lobster, 0.0940866470336914, 1.2604005336761475, 0.29366326332092285
2, 100, 0.1, lobster, 0.0873563289642334, 1.7957344055175781, 0.3309476375579834
3, 100, 0.1, lobster, 0.11919307708740234, 1.4134135246276855, 0.32430458068847656
1, 100, 0.1, random, 0.04594588279724121, 1.5996663570404053, 0.3067011833190918
2, 100, 0.1, random, 0.11910033226013184, 1.3542733192443848, 0.252622127532959
3, 100, 0.1, random, 0.10587668418884277, 2.0621726512908936, 0.27910876274108887
1, 100, 0.5, path, 0.055014848709106445, 4.421029090881348, 0.2485499382019043
2, 100, 0.5, path, 0.062128543853759766, 3.5478365421295166, 0.2709946632385254
3, 100, 0.5, path, 0.25693225860595703, 4.244870662689209, 0.2708568572998047
1, 100, 0.5, star, 0.46680259704589844, 2.586618185043335, 0.7708823680877686
2, 100, 0.5, star, 0.06924152374267578, 2.617210865020752, 0.7348711490631104
3, 100, 0.5, star, 0.42189788818359375, 2.7396023273468018, 0.7095355987548828
1, 100, 0.5, starlike, 0.14200282096862793, 5.216726064682007, 0.2557809352874756
2, 100, 0.5, starlike, 0.11393976211547852, 2.80871319770813, 0.7131209373474121
3, 100, 0.5, starlike, 0.05537891387939453, 4.609418153762817, 0.2696962356567383
1, 100, 0.5, caterpillar, 0.13465595245361328, 2.3638851642608643, 1.2119717597961426
2, 100, 0.5, caterpillar, 0.28168296813964844, 2.329908609390259, 0.6810390949249268
3, 100, 0.5, caterpillar, 0.25199437141418457, 2.5317037105560303, 0.5450665950775146
1, 100, 0.5, lobster, 0.3167400360107422, 3.0037598609924316, 0.7170042991638184
2, 100, 0.5, lobster, 0.19379186630249023, 2.700256824493408, 0.6386301517486572
3, 100, 0.5, lobster, 0.30843210220336914, 2.646101474761963, 0.47473788261413574
1, 100, 0.5, random, 0.29746007919311523, 2.953683376312256, 0.42491674423217773
2, 100, 0.5, random, 0.29418349266052246, 2.829878091812134, 0.501523494720459
3, 100, 0.5, random, 0.3028531074523926, 2.9827253818511963, 0.37753963470458984
1, 100, 0.8, path, 0.06733083724975586, 4.501605272293091, 0.28540635108947754
2, 100, 0.8, path, 0.4299459457397461, 4.434372186660767, 0.2812466621398926
3, 100, 0.8, path, 0.4001498222351074, 4.525538444519043, 0.2782459259033203
1, 100, 0.8, star, 0.2038884162902832, 3.4897022247314453, 0.8468174934387207
2, 100, 0.8, star, 0.13669228553771973, 3.4434380531311035, 0.970991849899292
3, 100, 0.8, star, 0.5314986705780029, 2.6798417568206787, 0.6805553436279297
1, 100, 0.8, starlike, 0.28646326065063477, 2.6747310161590576, 0.8210008144378662
2, 100, 0.8, starlike, 0.27622461318969727, 2.7193992137908936, 0.5288681983947754
3, 100, 0.8, starlike, 0.3455932140350342, 2.7938790321350098, 0.7595634460449219
1, 100, 0.8, caterpillar, 0.34641361236572266, 2.8411006927490234, 1.0355045795440674
2, 100, 0.8, caterpillar, 0.31669092178344727, 2.948622226715088, 1.2342135906219482
3, 100, 0.8, caterpillar, 0.32074809074401855, 3.156306028366089, 0.8559560775756836
1, 100, 0.8, lobster, 0.30881619453430176, 3.184673547744751, 0.6664004325866699
2, 100, 0.8, lobster, 0.25260448455810547, 3.6632893085479736, 0.7783613204956055
3, 100, 0.8, lobster, 0.38299012184143066, 2.9385857582092285, 0.6321451663970947
1, 100, 0.8, random, 0.31296420097351074, 3.1289031505584717, 0.6298632621765137
2, 100, 0.8, random, 0.07266783714294434, 3.935304641723633, 0.5440695285797119
3, 100, 0.8, random, 0.2556188106536865, 4.2682671546936035, 0.6753096580505371
1, 1000, 0.1, path, 2.9333889484405518, 152.59647941589355, 21.79707431793213
2, 1000, 0.1, path, 3.0635266304016113, 119.29758596420288, 56.515594244003296
3, 1000, 0.1, path, 12.151493787765503, 132.57388734817505, 54.04006505012512
1, 1000, 0.1, star, 180.98818278312683, 59.54962944984436, 70.7092056274414
2, 1000, 0.1, star, 11.490557432174683, 67.7476270198822, 77.18622994422913
3, 1000, 0.1, star, 179.58699011802673, 63.0200719833374, 55.358115673065186
1, 1000, 0.1, starlike, 17.619017839431763, 69.2565279006958, 65.90098738670349
2, 1000, 0.1, starlike, 10.692128896713257, 354.99329710006714, 21.461183071136475
3, 1000, 0.1, starlike, 18.19935441017151, 67.44230675697327, 49.998926639556885
1, 1000, 0.1, caterpillar, 59.99257683753967, 63.736292362213135, 163.7536129951477
2, 1000, 0.1, caterpillar, 88.22284770011902, 67.92031049728394, 241.88038563728333
3, 1000, 0.1, caterpillar, 24.05341339111328, 65.08697462081909, 113.18413758277893
1, 1000, 0.1, lobster, 4.335351467132568, 69.8163697719574, 31.371244430541992
2, 1000, 0.1, lobster, 127.54658961296082, 63.552212715148926, 259.7872588634491
3, 1000, 0.1, lobster, 14.21841812133789, 73.03058409690857, 83.39122533798218
1, 1000, 0.1, random, 19.788405895233154, 166.22212719917297, 57.391475439071655
2, 1000, 0.1, random, 31.193567276000977, 319.0240557193756, 55.66493201255798
3, 1000, 0.1, random, 29.016368627548218, 158.1254322528839, 44.16842222213745
1, 1000, 0.5, path, 141.5242199897766, 825.1925010681152, 30.504271745681763
2, 1000, 0.5, path, 149.14203643798828, 419.05426144599915, 152.45592284202576
3, 1000, 0.5, path, 149.39422369003296, 424.5727505683899, 148.84886980056763
1, 1000, 0.5, star, 278.52277970314026, 254.81585049629211, 77.62148785591125
2, 1000, 0.5, star, 138.0413727760315, 249.61313724517822, 165.3604395389557
3, 1000, 0.5, star, 217.20423984527588, 242.78184962272644, 90.82645511627197
1, 1000, 0.5, starlike, 63.291181802749634, 1223.5251398086548, 40.70180010795593
2, 1000, 0.5, starlike, 40.208893060684204, 743.5598094463348, 28.520485162734985
3, 1000, 0.5, starlike, 59.961256980895996, 315.29662442207336, 267.28667402267456
1, 1000, 0.5, caterpillar, 167.36757636070251, 249.48276734352112, 738.0231890678406
2, 1000, 0.5, caterpillar, 116.8784453868866, 252.44413304328918, 89.75384473800659
3, 1000, 0.5, caterpillar, 340.3723609447479, 249.70251274108887, 943.1963722705841
1, 1000, 0.5, lobster, 85.05429458618164, 244.58329153060913, 571.3088719844818
